"Key","SourceString"
"AddDoubleScrapChance","<b>+{Value}|floor()%</> шанса выпадения двойного количества <me_DivineCore>ядер богов</>"
"IncreasedScrapCollectionRange","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> радиуса подбора <me_DivineCore>ядер богов</>"
"IncreasedRetaliationRange","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> радиуса <me_Retaliate>отражения</>"
"IncreasedDeviceSkillSpeed","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> скорости умений <me_Device>механизмов</>"
"IncreasedSkillSpeed","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> скорости умений"
"IncreasedBulwarkEffect","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> силы эффекта <me_Bulwark>оплота</>"
"AddMaximumBulwark","<b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)</> предела <me_Bulwark>оплота</>"
"AddMinimumBulwark","<b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)</> минимума <me_Bulwark>оплота</>"
"IncreasedRageEffect","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> силы эффекта <me_Rage>ярости</>"
"AddMaximumRage","<b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)</> предела <me_Rage>ярости</>"
"AddMinimumRage","<b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)</> минимума <me_Rage>ярости</>"
"AddPierceRetaliation","<b>{Value}|fmt(min_frac=0,max_frac=0,sign=true)</> <me_PierceDam>колющего</> <me_Retaliate>отражения</>"
"AddFireRetaliation","<b>{Value}|fmt(min_frac=0,max_frac=0,sign=true)</> <me_Retaliate>отражения</> <me_FireDam>огнем</> "
"AddFireResistance","<b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)%</> <me_Resistance>сопротивления</> <me_FireDam>огню</>"
"AddColdResistance","<b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)%</> <me_Resistance>сопротивления</> <me_ColdDam>холоду</>"
"AddLightningResistance","<b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)%</> <me_Resistance>сопротивления</> <me_LightningDam>молнии</>"
"AddMaximumFireResistance","<b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)%</> предельного <me_Resistance>сопротивления</> <me_FireDam>огню</>"
"AddMaximumColdResistance","<b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)%</> предельного <me_Resistance>сопротивления</> <me_ColdDam>холоду</>"
"AddMaximumLightningResistance","<b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)%</> предельного <me_Resistance>сопротивления</> <me_LightningDam>молнии</>"
"SummonAddFireResistance","<b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)%</> <me_Resistance>сопротивления</> <me_FireDam>огню</> <me_Summon>прислужников</>"
"SummonAddColdResistance","<b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)%</> <me_Resistance>сопротивления</> <me_ColdDam>холоду</> <me_Summon>прислужников</>"
"SummonAddLightningResistance","<b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)%</> <me_Resistance>сопротивления</> <me_LightningDam>молнии</> <me_Summon>прислужников</>"
"IncreasedOverloadSkillDamage","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> урона <me_Overload>перегружаемыми</> умениями"
"IncreasedInfusionSkillDamage","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> урона умениями <me_ElementalInfusion>инфузии</>"
"SummonIncreasedAllSpeed","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> общей скорости <me_Summon>прислужников</>"
