Namespace,Key,SourceString,LocalizedString
ARTICY,DFr_88607FE9_0x01000121000062E2.Text,Crabs. You know what to do.,"Крабы. Вы знаете, что делать."
ARTICY,DFr_B2EE26BF_0x010001210000478E.Text,"Here we are. This place was built ages ago, by the Mycenaeans.",Пришли. Это место было построено много лет назад микенцами.
ARTICY,DFr_052D6AFB_0x0100012100006C40.Text,The heroes of old received the gods' gifts at this shrine. You'll need its blessing to stand against the gryphon.,"Герои древности получали дары богов в этом святилище. Тебе тоже понадобится его благословение, чтобы противостоять грифону."
ARTICY,DFr_2E27A71B_0x0100012100006861.Text,"Careful. The priests of Mycenae protect their shrines, even beyond the grave.",Осторожно. Микенские жрецы охраняют свои святыни даже за пределами могилы.
ARTICY,DFr_66C990E5_0x01000121000062F3.Text,Door's sealed. Give me a moment.,Дверь запечатана. Дай мне минутку.
ARTICY,DFr_BB58BC5F_0x01000121000062FC.Text,Fight them off while I unseal this door!,"Дай им отпор, пока я открываю дверь!"
ARTICY,DFr_5766B3D7_0x01000121000047FA.Text,There. Through here.,Вот. Сюда.
ARTICY,DFr_0654626E_0x0100012100004820.Text,The ancient Mycenaeans called this the Shrine of Divine Mastery.,Древние микенцы называли это место Святилищем божественного мастерства.
ARTICY,DFr_A2A65FC4_0x010001210000482F.Text,Only those the shrine chooses can receive its blessing.,"Только те, кого выберет святилище, могут получить его благословение."
ARTICY,DFr_7813584E_0x0100012100006C47.Text,"You're the finest I've ever trained. Go on, see if the shrine answers to you.","Ты лучший из всех, кого я когда-либо обучала. Иди, посмотри ответит ли тебе святилище."
ARTICY,DFr_7A99282A_0x0100012100004CBD.Text,You have been measured. Rise and accept your blessing.,Ты был оценен. Встань и прими свое благословение.
ARTICY,DFr_BB6E1ABD_0x0100012100004875.Text,No. This shouldn't be happening!,Нет. Этого не должно быть!
ARTICY,Dlg_C13363A6_0x010001210000642A.Text,Is something the matter?,Что-то случилось?
ARTICY,DFr_FC309248_0x010001210000487C.Text,"You saw how the shrine reacted. That corruption. Gods, I thought we had more time.","Ты видел, как отреагировало святилище. Эта порча. Боги, я думала, у нас еще есть время."
ARTICY,Dlg_1591A355_0x0100012100006601.Text,Time for what?,Время для чего?
ARTICY,DFr_09356CF9_0x0100012100006609.Text,No matter. Go. You have the shrine's blessing. You can face the gryphon without me.,Неважно. Иди. У тебя есть благословение святилища. Ты можешь сразиться с грифоном без меня.
ARTICY,DFr_7C619CED_0x0100012100006479.Text,I have... other preparations to make. I'll meet you on the mountain.,У меня... другие приготовления. Встретимся на горе.
ARTICY,DFr_8025370E_0x0100012100006657.Text,You must slay the gryphon! You can do this.,Ты должен убить грифона! Ты сможешь.
ARTICY,DFr_AA6C04C9_0x010001210000488A.Text,The gryphon!,Грифон!
ARTICY,DFr_87EBAAF3_0x01000121000048A0.Text,No! The village!,Нет! Деревня!
ARTICY,DFr_D5307411_0x01000121000048B4.Text,You're not a moment early. Where's Aristonoe? The gryphon's cult is attacking!,Ты как раз вовремя. Где Аристоноя? Культ грифона атакует!
ARTICY,DFr_1A306D64_0x0100012100006894.Text,"They want gold, again. Zeus help us, we've nothing left for them to take!","Они снова хотят золота. Зевс поможет нам, у нас больше нет ничего, что они могли бы взять!"
ARTICY,DFr_08937680_0x010001210000689E.Text,"Oh, mighty Zeus! Help us!","О, могущественный Зевс! Помоги нам!"
ARTICY,DFr_357B1ED4_0x0100012100006660.Text,I don't understand. Why would anyone want to steal gold for a gryphon?,Я не понимаю. Зачем кому-то красть золото для грифона?
ARTICY,Dlg_33A0104E_0x01000121000068AE.Text,Some people just like violence.,"Похоже, некоторые просто наслаждаются насилием."
ARTICY,DFr_565E9CD5_0x01000121000078A8.Text,You're right about that. These cultists are no better than beasts!,Ты прав. Эти культисты ничем не лучше зверей!
ARTICY,Dlg_3997C5A1_0x0100012100004C42.Text,They are beautiful creatures.,Они прекрасные создания.
ARTICY,DFr_9E1AA1BA_0x01000121000078A0.Text,"My wife is beautiful, but I don't go around burning down people's houses!","Моя жена прекрасна, но я не хожу и не сжигаю чужие дома!"
ARTICY,DFr_7E71363F_0x01000121000068A6.Text,We used to tease Aristonoe for all that training she had you do. Training for what? I guess now we know.,"Мы дразнили Аристоною за все эти тренировки, которые она заставляла тебя делать. Тренировки для чего? Думаю, теперь мы знаем."
ARTICY,DFr_7BC6C141_0x01000121000049F3.Text,The houses! There are people still trapped inside!,Дома! Люди все еще в ловушке!
ARTICY,DFr_3A0CBC34_0x0100012100004A0D.Text,Help! Help!,Помогите! Помогите!
ARTICY,DFr_D08D15B5_0x0100012100006323.Text,"Oh, Ares, please smite these thieves!","О, Арес, пожалуйста, порази этих воров!"
ARTICY,DFr_84CDE769_0x010001210000632B.Text,Zeus! Athena! Hera! Have mercy!,Зевс! Афина! Гера! Помилуйте!
ARTICY,DFr_733FC7D8_0x0100012100004A26.Text,Thank you!,Спасибо!
ARTICY,DFr_82784B74_0x0100012100004A15.Text,Help! *Cough* Help!,Помогите! *Кашляет* Помогите!
ARTICY,DFr_690DCB4E_0x010001210000633A.Text,Monsters! My father built this house!,Чудовища! Этот дом построил мой отец!
ARTICY,DFr_BA66C52E_0x0100012100006340.Text,Please! Someone! *Cough*,Пожалуйста! Кто-нибудь! *Кашляет*
ARTICY,DFr_57A1FF78_0x0100012100004A34.Text,Gods-cursed gryphon worshippers. Good riddance.,Проклятые богами грифонопоклонники. В добрый путь.
ARTICY,DFr_B092C275_0x0100012100004A1D.Text,No way I'm opening this door!,Я ни за что не открою эту дверь!
ARTICY,DFr_11AA800F_0x0100012100006351.Text,"Go back to your gryphon, thieves!","Возвращайтесь к своим грифонам, воры!"
ARTICY,DFr_4662DD4D_0x0100012100006359.Text,Didn't your mothers teach you any manners?,Неужели ваши матери не научили вас хорошим манерам?
ARTICY,DFr_ACC79CA0_0x0100012100004A42.Text,Is it safe to come out now?,Теперь можно выходить?
ARTICY,DFr_9C972154_0x0100012100004A55.Text,That looks like everyone. Meet me in the center of the village!,"Похоже, это были все. Встречаемся в центре деревни!"
ARTICY,DFr_171A43E6_0x0100012100005B1E.Text,This is the third time in as many months. We have to put a stop to it. The gryphon's leading them. We have to--,Это уже третий случай за последние несколько месяцев. Мы должны положить этому конец. Грифон ведет их. Мы должны...
ARTICY,DFr_6CE7E3B2_0x0100012100006386.Text,Well. Look who's grown a spine. Which one of you is responsible for this pathetic attempt at resistance?,"Ну и ну. Вы только посмотрите, у кого вдруг появилась смелость. Кто из вас ответственен за эту жалкую попытку сопротивления?"
ARTICY,Dlg_C3F4F542_0x01000121000063E6.Text,Who are you calling pathetic?,Кого ты называешь жалким?
ARTICY,DFr_EAF6B60B_0x010001210000638D.Text,"Heh. You like playing the hero, do you? Then fight me! My master will enjoy using your corpse as a plaything!","Хех, нравится играть в героя, да? Тогда сразись со мной! Мой мастер с удовольствием использует твой труп как игрушку!"
ARTICY,DFr_846ED797_0x0100012100005B2D.Text,"Not another attack! I'll protect the villagers. You, take care of the cultists.","Только не еще одна атака! Я буду защищать жителей деревни, а ты займись культистами."
ARTICY,DFr_24071B62_0x0100012100004A95.Text,That gryphon is a curse on us all! We can't keep fending off these attacks.,Этот грифон - проклятие для нас всех! Мы не можем продолжать отражать эти нападения.
ARTICY,Dlg_9CFF82DF_0x0100012100006C6B.Text,Then we have to hunt it down.,Тогда мы должны выследить его.
ARTICY,DFr_1C966AF5_0x0100012100006C73.Text,Not me. I'm too old to go chasing down gryphons. But you... which god gave you those gifts?,"Не я. Я слишком стара, чтобы гоняться за грифонами. Но ты... какой бог дал тебе эти дары?"
ARTICY,DFr_349623D4_0x0100012100006C52.Text,"The cultists blocked the path up the mountain. But there's another way, through the ruins.",Культисты перекрыли путь в гору. Но есть и другой путь - через руины.
ARTICY,DFr_D2F97A7C_0x0100012100007328.Text,"Take it, and teach those cultists a lesson while you're at it.",Возьми это и преподай урок этим культистам.
ARTICY,DFr_D5B89D40_0x01000121000071F6.Text,Don't forget to destroy the gryphon's nest too! We can't risk another gryphon moving in.,"Не забудь уничтожить и гнездо грифона тоже! Мы не можем рисковать тем, что в нем поселится еще один грифон."
ARTICY,DFr_198ED247_0x01000121000063B7.Text,"Gryphon cult took most of it, but I salvaged what I could. I'll give you a good price, if it'll help defeat the gryphon.","Культ Грифона забрал большую часть, но я спас то, что смог. Продам по хорошей цене, если это поможет победить грифона."
ARTICY,Dlg_0BE32B00_0x010001260000A161.Text,Trade,Торговать
ARTICY,Dlg_5041ABDF_0x010001260000A16C.Text,Goodbye,Попрощаться
ARTICY,DFr_CB01E963_0x01000121000063C6.Text,"Give that gryphon a good thrashing, will you?","Задай этому грифону хорошую трепку, ладно?"
ARTICY,DFr_69F39E7C_0x0100012100006FBB.Text,State your wish.,Выскажи свое желание.
ARTICY,Dlg_8C178755_0x0100012100006FED.Text,I wish to receive the gods' blessing.,Я желаю получить благословение богов.
ARTICY,DFr_105CF0BB_0x0100012100006FF6.Text,You have already received the blessing of the gods! How dare you ask for another?,Ты уже получил благословение богов! Как ты смеешь просить о другом?
ARTICY,DFr_9270F6DB_0x0100012100006FFD.Text,Prove your worth!,Докажи свою ценность!
ARTICY,DFr_7815CFBB_0x0100012100007007.Text,You have been measured...,Ты был оценен...
ARTICY,DFr_FC20676E_0x0100012100007010.Text,... and you have been found... worthy. Come and receive your blessing.,...и ты был признан... достойным. Подойди и получи свое благословение.
ARTICY,DFr_CD4B000D_0x0100012100007019.Text,"Rise, twice-blessed of the gods!","Встань, дважды благословенный богами!"
ARTICY,DFr_3D1A828C_0x0100012100006858.Text,No one's crazy enough to go through the ruins.,"Никто не настолько безумен, чтобы пойти через руины."
ARTICY,DFr_D7CD8355_0x010001210000686F.Text,What?!,Что?!
ARTICY,DFr_C2FBC3EE_0x01000121000072E2.Text,"Well, if it isn't the hero of Proti village. Come to bask in my presence, have you?","Кто же это, если не герой деревни Проти. Пришел погреться в моем присутствии, да?"
ARTICY,DFr_700E93FB_0x0100012100006D56.Text,Be warned. My servants were weak. But I... I am as terrible as I am beautiful!,"Предупреждаю. Мои слуги были слабы. Но я... я так же ужасна, как и прекрасна!"
ARTICY,DFr_C9EFBE27_0x010001210000492D.Text,At last.,Наконец-то.
ARTICY,DFr_6FDCF5A5_0x0100012100006C17.Text,Do you know who I am?,"Знаешь ли ты, кто я?"
ARTICY,DFr_7D6C3B83_0x0100012100004E9E.Text,"No, I didn't think so. You're oblivious to your Fate.","Нет, я так не думаю. Ты не ведаешь своей судьбы."
ARTICY,DFr_68913EFA_0x01000121000071BC.Text,"She did a good job hiding you from me. Aristonoe, my <i>priestess</>.","Она хорошо постаралась, скрывая тебя от меня. Аристоноя, <i>моя жрица</>."
ARTICY,DFr_50A6B295_0x0100012100006C1F.Text,"But she couldn't hide you forever. I am Retribution herself, and you were marked for punishment long ago.","Но она не могла скрывать тебя вечно. Я - само Возмездие, и ты давно был отмечен для наказания."
ARTICY,DFr_F53575EA_0x0100012100004953.Text,"Goddess! Stop, I beg you! There's no justice in this punishment.","Богиня! Остановитесь, умоляю вас! В этом наказании нет справедливости."
ARTICY,DFr_7B4B2E6B_0x0100012100004975.Text,"Justice! Ha! We're all just flies in the spiderweb of the Fates! Blame them, not me!","Справедливости?! Ха! Мы все просто мухи в паутине Судеб! Вини их, не меня!"
ARTICY,DFr_A8DD59AA_0x0100012100004985.Text,"Areion, now!","Арион, сейчас!"
ARTICY,DFr_45D6E5D1_0x0100012100004994.Text,"Go, run! I'll distract her. Get to the caves!","Давай, беги! Я отвлеку ее. Доберись до пещер!"
ARTICY,DFr_F71A4FE4_0x010001210000499C.Text,[Nemesis cries out in fury.],[Немезида кричит от ярости]
ARTICY,DFr_0C40F3E6_0x0100012100006D3B.Text,The cliff! Hurry!,Обрыв! Быстрее!
ARTICY,DFr_5C03ED24_0x01000121000072B9.Text,Run as far as you like. I will always pursue.,Беги сколько угодно. От моего преследования не скрыться.
ARTICY,DFr_9043A97A_0x01000121000072C2.Text,The Fates have cursed us both. I'm showing you mercy.,Судьбы прокляли нас обоих. Я проявляю к тебе милосердие.
ARTICY,DFr_ACE19056_0x01000121000072D0.Text,What will you do when <i>she's </>no longer there to protect you?,"Что ты будешь делать, когда <i>ее</> больше не будет рядом, чтобы защитить тебя?"
ARTICY,DFr_D567652A_0x0100012100004B8C.Text,"I bought us some time, but we need to move. Nemesis's servants will be close by.","Я выиграла немного времени, но нам нужно уходить. Слуги Немезиды будут рядом."
ARTICY,DFr_01C9AD3F_0x0100012100004B94.Text,Now you know. That was the goddess Nemesis. The truth is... she's wanted to destroy you since you were a baby.,"Теперь ты знаешь. Это была богиня Немезида. Правда в том, что... она хотела уничтожить тебя с тех пор, как ты был ребенком."
ARTICY,DFr_F870E051_0x0100012100004B9D.Text,I was her faithful priestess when she demanded I bring you to her for punishment.,"Я была ее верной жрицей, когда она потребовала, чтобы я привела тебя к ней для наказания."
ARTICY,DFr_066CDBAA_0x0100012100004BAB.Text,It was madness! I couldn't do it. What could an infant do to deserve eternal punishment?,"Это безумие! Я не могла этого сделать. Что мог сделать младенец, чтобы заслужить Вечную кару?"
ARTICY,DFr_504BCEBB_0x01000121000071CC.Text,"It's my fault she found you. When you used the mastery shrines, it must have alerted her to your presence.","Это моя вина, что она тебя нашла. Применение святилищ мастерства, должно быть, предупредило ее о твоем присутствии"
ARTICY,DFr_EBB3AC1F_0x0100012100004BB9.Text,"There, the boat. As long as you're on this island, Nemesis is a threat to everyone here. We need to leave.","Вот, лодка. Пока ты на этом острове, Немезида представляет угрозу для всех присутствующих. Нам нужно уходить."
ARTICY,DFr_10BBB4E4_0x0100012100004BD3.Text,"We need to sail for Pyrgos. There's an entrance near there to the realm of the Moirai, the goddesses of Fate.","Нам нужно плыть в Пиргос. Там недалеко есть вход в царство Мойр, богинь судьбы."
ARTICY,Dlg_C9B38847_0x01000121000064A8.Text,Why the Moirai?,Почему именно Мойры?
ARTICY,DFr_D2FFF1D4_0x0100012100004BE2.Text,"Nemesis fears you because of a prophecy. I don't know what prophecy, but the Moirai will be able to tell us.","Немезида боится тебя из-за пророчества. Я не знаю, что это за пророчество, но Мойры смогут нам рассказать."
ARTICY,DFr_970429E2_0x0100012100004BE9.Text,Here. Wear this. Cover your face. And take this charm.,Вот. Надень это. Прикрой лицо. И возьми этот амулет.
ARTICY,Dlg_9B1F1D0A_0x01000121000071DB.Text,What is it?,Что это такое?
ARTICY,DFr_473500DA_0x0100012100006C27.Text,My horse charm. It belongs to an old friend. It will protect you. And remember: seek the Moirai temple.,Мой оберег. Он принадлежит старому другу. Он защитит тебя. И помни: ищи храм Мойр.
ARTICY,DFr_A7FF10AA_0x0100012100004BF9.Text,Judgment!,Приговор!
ARTICY,DFr_C2CCF153_0x0100012100004C10.Text,Go!,Вперед!
ARTICY,DFr_37E93703_0x01000121000072F8.Text,So brave Aristonoe perished...,Так погибла храбрая Аристоноя...
ARTICY,DFr_E2C3B818_0x01000121000072FF.Text,...and the mortal fled.,...и смертный бежал.
ARTICY,DFr_80C4E186_0x0100012100007306.Text,"Storm-tossed, they sank beneath the waters...","Помотанный натиском шторма, он погружается под воду..."
ARTICY,DFr_BF4136CA_0x010001210000730D.Text,...crying out for a protector.,...взывая к защитнику.
ARTICY,DFr_723D08A1_0x0100012100006197.Text,"Kill them! Kill the wolves! Ugh, you useless meat sack! Who taught you to fight?","Убей их! Убей волков! Угх, ты бесполезный мешок мяса! Кто учил тебя драться?"
ARTICY,DFr_4883DBA0_0x01000121000061AE.Text,<i>Grunts. </>Damn<i> </>it. Will someone get me out of this corpse's bag?,*Ворчит* <i>Проклятье.</> Кто-нибудь вытащит меня из сумки этого трупа?
ARTICY,DFr_DE356A82_0x01000121000061A6.Text,Well? What are you waiting for? Pick me up.,Ну что? Чего ты ждешь? Забери меня.
ARTICY,DFr_8740B77B_0x01000121000061B6.Text,"Yes, I'm stuck in this jar. No, you can't open it.","Да, я застрял в этом сосуде. И нет, ты не сможешь его открыть."
ARTICY,DFr_1DE9B3F8_0x01000121000064A0.Text,"But you <i>can</> take me to the shrine of Hermes in the cave southwest of here, so that craven cur can fix this.","Но ты <i>можешь</> отнести меня в святилище Гермеса в пещере к юго-западу отсюда, чтобы этот мерзавец смог все исправить."
ARTICY,DFr_D065DA9E_0x01000121000061CC.Text,This is the cave. Hope you're a better fighter than the last guy.,"Вот и нужная пещера. Надеюсь, как боец ты получше, чем тот парень."
ARTICY,DFr_09C3016D_0x01000121000061D4.Text,Here. Put me on the shrine. Go on!,Здесь. Положи меня на святилище. Давай!
ARTICY,DFr_C9FA66B7_0x01000121000061DD.Text,"I suppose you're expecting a reward now? Fine. Now, get out of here. Your job is done.","Полагаю, теперь ты ждешь награды? Хорошо. А теперь убирайся отсюда, твоя работа окончена."
ARTICY,DFr_56831914_0x01000121000061EB.Text,Alright brother! You've had your fun! Let me out of this jar so I can rip your throat out!,"Хорошо, брат! Ты уже повеселился! Выпусти меня из этой банки, чтобы я мог вырвать тебе глотку!"
ARTICY,DFr_5B125210_0x01000121000061F8.Text,I mean ... please? Hermes? Hermes!,Я имею в виду... пожалуйста? Гермес? Гермес!
ARTICY,DFr_08A9612F_0x0100012100006220.Text,Where are you going? Hermes's shrine is nowhere near here. I don't want to end up in a gryphon's stomach!,Куда ты идешь?! Святилище Гермеса совсем не здесь. Я не хочу оказаться в желудке грифона!
ARTICY,DFr_180FDE88_0x01000121000064CE.Text,"Tormented by Retribution, the mortal woke on a strange shore, alone.","Терзаемый Возмездием, смертный очнулся на незнакомом берегу. В одиночестве."
ARTICY,DFr_364E51C4_0x0100012100006A56.Text,Hello...?,Кто-нибудь?..
ARTICY,DFr_2F272F1C_0x0100012100003043.Text,Ergh... you... you're alive. Thank the gods.,Угх... ты... ты жив. Слава богам.
ARTICY,DFr_89869174_0x0100012100006502.Text,Remember the charm Aristonoe gave you? Shaped like a horse?,"Помнишь амулет, который подарила тебе Аристоноя? В форме коня?"
ARTICY,DFr_C30096AF_0x01000121000066B0.Text,That's me. We must have separated in the wreck. Hurry. Find me.,"Это я. Должно быть, мы разделились во время крушения. Поторопись. Найди меня."
ARTICY,DFr_B670650C_0x010001210000460C.Text,Get your claws off me!,Уберите от меня свои клешни!
ARTICY,DFr_B577A513_0x0100012100003058.Text,"Ah, there. Thank the gods.","Ах, так-то лучше. Слава богам."
ARTICY,Dlg_27A8AF53_0x0100012100004C8D.Text,You're... a talking horse.,Ты... говорящий конь.
ARTICY,DFr_58EDD32A_0x0100012100004C95.Text,Not just any talking horse. The talking horse that saved your life.,"Не просто говорящий конь. Говорящий конь, который спас тебе жизнь."
ARTICY,Dlg_976FED84_0x0100012100006527.Text,Thank you.,Спасибо.
ARTICY,DFr_2FA1564A_0x0100012100004DD0.Text,"Erm, you're welcome. Aristonoe charged me with helping you reach the Moirai and keeping you safe.",Не за что. Аристоноя поручила мне помочь тебе добраться до Мойр и обеспечить безопасность.
ARTICY,DFr_DC82A534_0x0100012100006530.Text,"A goddess is hunting you, and I have no idea how to reach the Moirai.","На тебя охотится богиня, и я не знаю, как добраться до Мойр."
ARTICY,DFr_461FB7AB_0x0100012100006CDB.Text,At least Nemesis seems to think you're dead for now. That's some good news.,"По крайней мере, Немезида пока считает что ты мертв. Это хорошие новости."
ARTICY,DFr_3EFB0C02_0x0100012100006BD7.Text,"Well, one step at a time. Let's find out where we are.","Ну, по одному шагу за раз. Давай выясним, где мы находимся."
ARTICY,DFr_966468F3_0x0100012100003125.Text,A path. Perhaps there's a village further up this road.,"Тропинка. Возможно, дальше по этой дороге есть деревня."
ARTICY,DFr_D0A5513B_0x01000121000033F7.Text,Hmm. What happened here?,Хм. Что здесь произошло?
ARTICY,DFr_3A7BD0EF_0x010001210000467C.Text,They say only a god can open the temple of the Moirai.,"Говорят, что открыть храм Мойр может только бог."
ARTICY,DFr_CAC9B31F_0x01000121000066A1.Text,"So first, we have to find a god, and then we have to find the Moirai temple.","Итак, сначала нужно найти бога, а затем - храм Мойр."
ARTICY,DFr_D5A0EB72_0x0100012100004622.Text,I wish Aristonoe were here. Your mentor always had a plan.,"Хотелось бы, чтобы Аристоноя была здесь. У твоей наставницы всегда был план."
ARTICY,DFr_6C0D1CB6_0x010001210000468A.Text,"Ichthians. They're far from the water, aren't they?","Ихтианы. Они зашли довольно далеко от воды, не так ли?"
ARTICY,DFr_E024E5D1_0x0100012100003173.Text,That man looks like he could use our aid!,"Похоже, этому человеку не помешает наша помощь!"
ARTICY,DFr_F8DBDC52_0x010001210000325E.Text,"Now who by the ghost of shipwrecked Odysseus are you, and where did you come from?","Кто же ты такой, призрак потерпевшего кораблекрушение Одиссея, и откуда ты взялся?"
ARTICY,DFr_CE41D372_0x0100012100003264.Text,"On second thought, never mind. Grab that lever. We need to destroy this bridge before more ichthians arrive!","Если подумать, неважно. Хватай рычаг. Мы должны уничтожить мост, пока не прибыли новые ихтианы!"
ARTICY,DFr_DFAF3CE3_0x0100012100006BE5.Text,You'll have to do all the talking. Only the person bound to the charm can hear me.,"Говорить придется тебе. Меня может услышать лишь тот, кто связан с амулетом."
ARTICY,DFr_68D953C9_0x0100012100003287.Text,That's it. I've set up the lever to destroy the bridge. Use your strength.,"Вот и все. Я установил рычаг, чтобы разрушить мост. Примени свою силу."
ARTICY,DFr_C3402DA2_0x0100012100006A78.Text,"Ha! Just try to cross now, scaly vermin!","Ха! Только попробуй перейти сейчас, чешуйчатый паразит!"
ARTICY,DFr_95831662_0x0100012100003198.Text,"Now, you. What god did you piss off that you've washed ashore here of all places?","А теперь ты. Какого бога ты разозлил, что тебя выбросило на берег именно здесь?"
ARTICY,Dlg_C842FE92_0x010001210000328F.Text,Nemesis wrecked my ship.,Немезида разрушила мой корабль.
ARTICY,DFr_34A7236A_0x01000121000031BB.Text,Nemesis... I knew someone who was hunted by Nemesis once. Years ago. A woman with a child. How can I help?,"Немезида... Я знал кое-кого, за кем охотилась Немезида. Много лет назад. Женщина с ребенком. Чем я могу помочь?"
ARTICY,Dlg_14555905_0x0100012100006BFE.Text,I'm lost. Where am I?,Я заблудился. Где я сейчас?
ARTICY,DFr_A32BEBC4_0x01000121000031CA.Text,This sorry place? You're on the outskirts of Pyrgos village. Follow me. I'll show you the way.,Это жалкое место? Ты на окраине деревни Пиргос. Следуй за мной. Я покажу дорогу.
ARTICY,DFr_25A338EF_0x0100012100004D2D.Text,Pyrgos village? Could it be? We didn't end up so far off course after all!,"Деревня Пиргос? Может ли?.. В конце концов, мы не так уж сильно отклонились от курса!"
ARTICY,DFr_3DA73D7D_0x0100012100004D42.Text,The god Glaukos has a temple near here. He's an old friend of mine. He can help us reach the Moirai!,У бога Главка есть храм неподалеку отсюда. Он мой старый друг. Он может помочь нам добраться до Мойр!
ARTICY,DFr_70743AF6_0x01000121000031DF.Text,The great dam. Glaukos ordered the cyclopes to build it for the people here ages ago.,Великая плотина. Главк приказал циклопам построить ее для здешних жителей много веков назад.
ARTICY,DFr_7FDF6FD1_0x01000121000031ED.Text,The ichthians broke through a few weeks ago. The floodwaters were merciless. The ichthians too.,Ихтианы прорвались несколько недель назад. Потоп был беспощаден. И к ихтианам тоже.
ARTICY,DFr_7B2CA2DD_0x01000121000031F4.Text,"Not even the god could stop them. Pyrgos would have fallen, too, if it weren't on high ground.","Даже бог не смог их остановить. Пиргос тоже бы пал, если бы не находился на возвышенности."
ARTICY,DFr_E4D83D3A_0x0100012100004D4A.Text,No. The Glaukos I knew would never allow it!,"Нет. Главк, которого я знал, никогда бы этого не допустил!"
ARTICY,DFr_6F5B6FC5_0x0100012100003202.Text,Curses. Some ichthians must have gotten through before we destroyed the bridge.,"Черт. Видимо, несколько ихтианов пробралось сюда до того, как мы разрушили мост."
ARTICY,DFr_8AF891A0_0x0100012100004D61.Text,A word with you before you go.,Можно тебя на пару слов?
ARTICY,DFr_29AFAAFA_0x01000121000032B5.Text,All right. I have to know. You come here fighting like Achilles and telling me the Goddess of Retribution is out to get you. What do you want?,"Хорошо. Я должен знать. Ты пришел сюда, сражаясь как Ахиллес, и говоришь мне, что богиня Воздаяния охотится за тобой. Чего ты хочешь?"
ARTICY,Dlg_2275CFF0_0x01000121000032C4.Text,I'm looking for the god Glaukos.,Я ищу бога Главка.
ARTICY,DFr_D8C4D800_0x01000121000032CB.Text,Glaukos! Ha! Forget about him. Everything he touches falls apart. You're better off without him.,"Главк! Ха! Забудь о нем. Все, к чему он прикасается, разваливается. Тебе будет лучше без него."
ARTICY,DFr_0DC9627E_0x0100012100004D9A.Text,No! There must be some mistake. We need the god's help to reach the Moirai. Let's continue to the village.,"Нет! Должно быть, это какая-то ошибка. Нам нужна помощь бога, чтобы добраться до Мойр. Давай продолжим путь к деревне."
ARTICY,DFr_000C9609_0x0100012100004DD9.Text,"After I became trapped in this charm, Glaukos was as true a friend as you could want.","После того, как я был заключен в этом амулете, Главк стал мне верным другом, какого только можно пожелать."
ARTICY,DFr_8DD217C0_0x0100012100004DB0.Text,He gave me to Aristonoe because I asked him to. I needed to feel useful.,"Он отдал меня Аристоное, потому что я его об этом попросил. Мне нужно было почувствовать себя полезным."
