"Key","SourceString"
"dt_lore_arkadian_plains_sideline.03_ap_s_wg_dead_adventurer.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_wg_riddle_lore.Heading","Надпись"
"dt_lore_arkadian_plains_sideline.03_ap_s_wg_riddle_lore.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_wg_false_grave_lore.Heading","Саркофаг"
"dt_lore_arkadian_plains_sideline.03_ap_s_wg_false_grave_lore.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_wg_real_grave_lore.Heading","Глиняная табличка"
"dt_lore_arkadian_plains_sideline.03_ap_s_wg_real_grave_lore.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ss_planetary_map_lore.Heading","Урок астрономии"
"dt_lore_arkadian_plains_sideline.03_ap_s_ss_planetary_map_lore.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_cg_banner_holder_empty.Heading","Пустой держатель знамени"
"dt_lore_arkadian_plains_sideline.03_ap_s_cg_banner_holder_empty.TextBody","Пустой держатель для флага или знамени."
"dt_lore_arkadian_plains_sideline.03_ap_s_cg_banner_holder_full.Heading","Держатель для мемориального баннера"
"dt_lore_arkadian_plains_sideline.03_ap_s_cg_banner_holder_full.TextBody","Это знамя, под которым Тарос и его бойцы выступили в последний раз против Клеймоносцев."
"dt_lore_arkadian_plains_sideline.03_ap_s_ww_leandros_prayer.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ww_leandros_prayer.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ww_leandros_confession.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ww_leandros_confession.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ww_leandros_shed_door.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ww_leandros_shed_door.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ww_leandros_worship_eris.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ww_leandros_worship_eris.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ss_planet_order_lore.Heading","Астрономический свиток"
"dt_lore_arkadian_plains_sideline.03_ap_s_ss_planet_order_lore.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_hp_demeter_shrine.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_hp_demeter_shrine.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ra_peacock_emblem.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ra_peacock_emblem.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_as_statue_rules.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_as_statue_rules.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_as_priest_puzzle.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_as_priest_puzzle.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ds_erebos_hint.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ds_erebos_hint.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ds_memorial_bowl.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ds_memorial_bowl.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ds_animal_scroll.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ds_animal_scroll.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ds_wrath_lore_1.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ds_wrath_lore_1.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_br_priest_note.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_br_priest_note.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ss_seven_skeletons_riddle_1.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ss_seven_skeletons_riddle_1.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ss_seven_skeletons_riddle_2.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ss_seven_skeletons_riddle_2.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_gw_wolf_overlook_text.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_gw_wolf_overlook_text.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_sq_wanax_stele_text.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_sq_wanax_stele_text.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_sq_bronze_burial_rites.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_sq_bronze_burial_rites.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_sq_scout_body.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_sq_scout_body.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_sq_wanax_gift.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_sq_wanax_gift.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_sq_advisor_warning_text.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_sq_advisor_warning_text.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ds_wrath_lore_2.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ds_wrath_lore_2.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_dl_old_murder_body_text.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_dl_old_murder_body_text.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ts_hook.Heading","Надпись"
"dt_lore_arkadian_plains_sideline.03_ap_s_ts_hook.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ts_step_1_1.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ts_step_1_2.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ts_step_1_3.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ts_step_2.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ts_step_3.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_ts_treasure.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_dl_lake_writer.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_dl_lake_writer.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_dl_pegaea_votive.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_dl_pegaea_votive.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_dl_couples_ship.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_dl_couples_ship.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_dl_sealed_jar.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_dl_sealed_jar.TextBody",""
