"Key","SourceString","DevComment"
"cha_primaltempest_name_01","Бушующая буря",""
"cha_primaltempest_name_02","Благословенная бушующая буря",""
"cha_primaltempest_name_03","Божественная бушующая буря",""
"cha_pristineplumage_name_01","Чистое перо",""
"cha_pristineplumage_name_02","Благословенное чистое перо",""
"cha_pristineplumage_name_03","Божественное чистое перо",""
"cha_rigidcarapace_name_01","Жесткий карапакс",""
"cha_rigidcarapace_name_02","Благословенный жесткий карапакс",""
"cha_rigidcarapace_name_03","Божественный жесткий карапакс",""
"cha_spectralmatter_name_01","Призрачная материя",""
"cha_spectralmatter_name_02","Благословенная призрачная материя",""
"cha_spectralmatter_name_03","Божественная призрачная материя",""
"cha_torturedsoul_name_01","Измученная душа",""
"cha_torturedsoul_name_02","Благословенная измученная душа",""
"cha_torturedsoul_name_03","Божественная измученная душа",""
"cha_turtleshell_name_01","Черепаший панцирь",""
"cha_turtleshell_name_02","Благословенный черепаший панцирь",""
"cha_turtleshell_name_03","Божественный черепаший панцирь",""
"cha_venomsac_name_01","Бурдюк яда",""
"cha_venomsac_name_02","Благословенный бурдюк яда",""
"cha_venomsac_name_03","Божественный бурдюк яда",""
"cha_vileichor_name_01","Мерзкий ихор",""
"cha_vileichor_name_02","Благословенный мерзкий ихор",""
"cha_vileichor_name_03","Божественный мерзкий ихор",""
"cha_necroticbones_flavortext","Кости нежити.",""
"cha_membranewings_flavortext","Крылья большого летающего существа.",""
"cha_boarblood_flavortext","Кровь стойкого кабанолюда-чемпиона.",""
"cha_hollowfang_flavortext","Впалый клык монстра.",""
"cha_hollowessence_flavortext","Застывшая душа эфирного существа.",""
"cha_glacialshard_flavortext","Небольшая льдинка от большого ледника.",""
"cha_felineclaw_flavortext","Тяжелый, смертоносный коготь.",""
"cha_cyclopseye_flavortext","Глаз, вырванный у огромного циклопа.",""
"cha_centaurhoof_flavortext","Копыто ловкого кентавра.",""
"cha_equilibriumessence_flavortext","Фрагмент энергии от противоборствующих сил.",""
"cha_boarhide_flavortext","Прочная шкура дикого вепря.",""
"cha_leechbile_flavortext","Отвратительные выделения гигантской пиявки.",""
"cha_ichthianfin_flavortext","Плавник мертвого ихтиана.",""
"cha_lupineclaw_flavortext","Длинный, острый коготь.",""
"cha_marbleheart_flavortext","Сердце живой статуи.",""
"cha_mechanicalparts_flavortext","Сложные внутренности автоматона.",""
"cha_primalmagma_flavortext","Магическая лава, позаимствованная у огненного существа.",""
"cha_primaltempest_flavortext","Магический шторм, позаимствованный у грозового существа.",""
"cha_pristineplumage_flavortext","Перо высокого качества.",""
"cha_rigidcarapace_flavortext","Толстая оболочка монстра.",""
"cha_spectralmatter_flavortext","Тонкая, светящаяся субстанция.",""
"cha_torturedsoul_flavortext","Душа существа, терзаемого Немезидой.",""
"cha_turtleshell_flavortext","Большой панцирь черепахи.",""
"cha_venomsac_flavortext","Содержит смертельный яд.",""
"cha_vileichor_flavortext","Отвратительный комок гноя, крови и желчи.",""
