"Key","SourceString"
"VolatileConcoction_Feat_ShadowSpell_1Description","Преобразовывает <b>100%</> урона фантомных чар в <me_FireDam>урон огнем</>\n<b>+{FireDmg}%</> <me_FireDam>урона огнем</>\n<b>+{BurnChance}%</> шанса <me_Burn>горения</>"
"ShadowArts_0Name","Теневое искусство"
"ShadowArts_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{SpellDmgCurrent}|floor()%</> урона чарами\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{SpellDmgNext}|floor()%</> урона чарами"
"ShadowArts_Feat_CastSpeed_0Name","Скорость сотворения"
"ShadowArts_Feat_CastSpeed_1Description","<b>+{CastSpeed}%</> скорости сотворения"
"ShadowArts_Feat_SpellCrit_0Name","Крит. шанс"
"ShadowArts_Feat_SpellCrit_1Description","<b>+{CritChance}%</> шанса <me_Critical>критического удара</> чарами"
"ShadowArts_Feat_SpellAilment_0Name","Шанс хвори"
"ShadowArts_Feat_SpellAilment_1Description","<b>+{AilmentChance}%</> <me_AilmentChance>шанса хвори</> от чар"
"SleightOfHand_0Name","Ловкость рук"
"SleightOfHand_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{WeaponDmgCurrent}|floor()%</> урона оружием\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{WeaponDmgNext}|floor()%</> урона оружием"
"SleightOfHand_Feat_AttackSpeed_0Name","Скорость атаки"
"SleightOfHand_Feat_AttackSpeed_1Description","<b>+{AttackSpeed}%</> скорости атаки"
"SleightOfHand_Feat_WeaponCrit_0Name","Крит. шанс"
"SleightOfHand_Feat_WeaponCrit_1Description","<b>+{CritChance}%</> шанса <me_Critical>критического удара</> оружием"
"SleightOfHand_Feat_WeaponAilment_0Name","Шанс хвори"
"SleightOfHand_Feat_WeaponAilment_1Description","<b>+{AilmentChance}%</> <me_AilmentChance>шанса хвори</> от оружия"
"DismantlingTactics_0Name","Саботаж"
"DismantlingTactics_1Description","<b_gold>Уровень {CurrentLevel}:</>\nПовышает урон на <b>{DmgModCurrent}%</> по <me_Mark>отмеченным</> врагам\nПри убийстве врага наносит <b>{VitDmgCurrent}|round()</> <me_VitalityDam>урона здоровьем</> <me_Mark>отмеченному</> врагу\n\n<b_gold>Уровень {NextLevel}:</>\nПовышает урон на <b>{DmgModNext}%</> по <me_Mark>отмеченным</> врагам\nПри убийстве врага наносит <b>{VitDmgNext}|round()</> <me_VitalityDam>урона здоровьем</> <me_Mark>отмеченному</> врагу"
"DismantlingTactics_Feat_MarkResistance_0Name","Сопротивление метки"
"DismantlingTactics_Feat_MarkResistance_1Description","Ваша метка снижает сопротивления <me_Mark>отмеченного</> врага на <b>-{ResMod}%</>"
"DismantlingTactics_Feat_MarkCrit_0Name","Крит. шанс"
"DismantlingTactics_Feat_MarkCrit_1Description","Ваша метка повышает шанс <me_Critical>критического удара</> на <b>{CritChance}%</> против <me_Mark>отмеченного</> врага"
"DismantlingTactics_Feat_MarkLifestel_0Name","Похищение жизни"
"DismantlingTactics_Feat_MarkLifesteal_1Description","Ваша метка повышает силу <me_Lifesteal>похищения жизни</> на <b>{Lifesteal}%</> против <me_Mark>отмеченного</> врага"
"SurgicalPrecision_0Name","Хирургическая точность"
"SurgicalPrecision_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{CritChanceCurrent}%</> шанса <me_Critical>критического удара</>\n<b>+{CritDmgCurrent}%</> <me_CritDamMult>критического урона</>\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{CritChanceNext}%</> шанса <me_Critical>критического удара</>\n<b>+{CritDmgNext}%</> <me_CritDamMult>критического урона</>"
"SurgicalPrecision_Feat_CritChance_0Name","Крит. шанс"
"SurgicalPrecision_Feat_CritChance_1Description","<b>+{CritChance}%</> шанса <me_Critical>критического удара</>"
"SurgicalPrecision_Feat_CritDamage_0Name","Крит. урон"
"SurgicalPrecision_Feat_CritDamage_1Description","<b>+{CritDmg}%</> <me_CritDamMult>критического урона</>"
"SurgicalPrecision_Feat_SpecialCrit_0Name","Высокий крит. урон"
"SurgicalPrecision_Feat_SpecialCrit_1Description","<b>+{CritDmg}%</> <me_CritDamMult>критического урона</>\n<b>-{CritChance}%</> шанса <me_Critical>критического удара</>"
"OpenWound_0Name","Открытая рана"
"OpenWound_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{RuptureChanceCurrent}%</> шанса <me_Rupture>разрыва</>\n<b>+{RuptureDmgCurrent}%</> урона <me_Rupture>разрывом</>\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{RuptureChanceNext}%</> шанса <me_Rupture>разрыва</>\n<b>+{RuptureDmgNext}%</> урона <me_Rupture>разрывом</>"
"OpenWound_Feat_RuptureMarkDmg_0Name","Урон разрыва по метке"
"OpenWound_Feat_RuptureMarkDmg_1Description","<b>+{TrueDmg}|round()</> <me_TrueDam>истинного урона</> разрывом\nБонус удваивается против <me_Mark>отмеченных</> врагов"
"OpenWound_Feat_RuptureDamage_0Name","Урон разрыва"
"OpenWound_Feat_RuptureDamage_1Description","<b>+{RuptureDmg}%</> урона <me_Rupture>разрывом</>"
"OpenWound_Feat_RuptureChance_0Name","Шанс разрыва"
"OpenWound_Feat_RuptureChance_1Description","<b>+{RuptureChance}%</> шанса <me_Rupture>разрыва</>"
"ArtOfDeath_0Name","Искусство смерти"
"ArtOfDeath_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{DoomDmgCurrent}%</> урона <me_Doom>роком</>\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{DoomDmgNext}%</> урона <me_Doom>роком</>"
"ArtOfDeath_Feat_DoomAmount_0Name","Предел рока"
"ArtOfDeath_Feat_DoomAmount_1Description","<b>+{DoomAmount}</> предела <me_Doom>рока</>"
"ArtOfDeath_Feat_DoomLifesteal_0Name","Жизнепохищение рока"
"ArtOfDeath_Feat_DoomLifesteal_1Description","<b>+{Lifesteal}%</> базового <me_Lifesteal>похищения жизни</> от <me_Doom>рока</>"
"ArtOfDeath_Feat_DoomToPoison_0Name","Преобразование рока"
"ArtOfDeath_Feat_DoomToPoison_1Description","<me_Doom>Рок</> преобразовывается в <me_PoisonDam>урон ядом</>\n<b>+{AilmentChance}%</> базового <me_AilmentChance>шанса хвори</> от <me_Doom>рока</> за каждый заряд"
"Torment_0Name","Пытка"
"Torment_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{DoTDmgCurrent}%</> <me_DoT>периодического</> урона\n<b>+{AilmentChanceCurrent}%</> <me_AilmentChance>шанса хвори</>\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{DoTDmgNext}%</> <me_DoT>периодического</> урона\n<b>+{AilmentChanceNext}%</> <me_AilmentChance>шанса хвори</>"
"Torment_Feat_DoTDmg_0Name","Периодический урон"
"Torment_Feat_DoTDmg_1Description","<b>+{DoTDmg}%</> <me_DoT>периодического</> урона от активных умений"
"Torment_Feat_AilmentAmount_0Name","Предел хвори"
"Torment_Feat_AilmentAmount_1Description","<b>+{AilmentAmount}</> предела всех <me_Ailment>хворей</>"
"Torment_Feat_AilmentChance_0Name","Шанс хвори"
"Torment_Feat_AilmentChance_1Description","<b>+{AilmentChance}%</> <me_AilmentChance>шанса хвори</>"
"EvasiveManeuvers_0Name","Ловкие маневры"
"EvasiveManeuvers_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{GlancingHitChanceCurrent}%</> шанса <me_Glancing>скользящих</> атак\nПри получении <me_Glancing>скользящих</> атак дает <b>{Barrier}</> <me_FreeBarrier>барьера</>, но не чаще раза в <b>{BarrierCDCurrent}|fmt(min_frac=0,max_frac=1) сек.</>\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{GlancingHitChanceNext}%</> шанса <me_Glancing>скользящих</> атак\nПри получении <me_Glancing>скользящих</> атак дает <b>{Barrier}</> <me_FreeBarrier>барьера</>, но не чаще раза в <b>{BarrierCDNext}|fmt(min_frac=0,max_frac=1) сек.</>"
"EvasiveManeuvers_Feat_GlancingDamage_0Name","Снижение урона"
"EvasiveManeuvers_Feat_GlancingDamage_1Description","<b>+{GlancingDmg}%</> снижения урона от <me_Glancing>скользящих</> атак\n<b>-{GlancingChance}%</> шанса <me_Glancing>скользящих</> атак"
"EvasiveManeuvers_Feat_GlancingHeal_0Name","Лечение"
"EvasiveManeuvers_Feat_GlancingHeal_1Description","При получении <me_Glancing>скользящих</> атак вы исцеляетесь на <b>{Heal}%</> от сниженного урона"
"EvasiveManeuvers_Feat_GlancingSpecial_0Name","Движение"
"EvasiveManeuvers_Feat_GlancingSpecial_1Description","После применения умения движения дает <b>+{DmgReduction}%</> снижения урона от <me_Glancing>скользящих</> атак.\nСнижается на <b>{DecayRate}%</> каждую секунду"
